wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year,check,0
Mark Annis,Jim Fussell,Mark Annis,2,Jim Fussell,3,r32,,,DEC,Jim Fussell,,North Carolina State,5,Syracuse,118,118,1989,0,
Donnie Heckel,Erin Millsap,Donnie Heckel,2,Erin Millsap,0,r32,,,DEC,Donnie Heckel,12,Clemson,,Cal State-Fullerton,118,118,1989,0,
Ken Chertow,Ken Matsui,Ken Chertow,-1,Ken Matsui,-2,r32,,5:58,F,Ken Chertow,4,Penn State,,Boston University,118,118,1989,0,
Wayne Gibson,Matt Guinn,Wayne Gibson,12,Matt Guinn,4,r32,,,MD,Wayne Gibson,,Old Dominion,,New Mexico,118,118,1989,0,
Steve Martin,Dave Jordan,Steve Martin,-1,Dave Jordan,-2,r32,,2:08,F,Steve Martin,8,Iowa,,Buena Vista,118,118,1989,0,
Mike Caracci,Zeke Jones,Mike Caracci,2,Zeke Jones,12,r32,,,MD,Zeke Jones,,New Hampshire,9,Arizona State,118,118,1989,0,
Doug Harper,John Galkowski,Doug Harper,4,John Galkowski,6,r32,1,,DEC,John Galkowski,,Eastern Michigan,,Cal Poly-SLO,118,118,1989,0,
Jack Cuvo,Jack DeBoe,Jack Cuvo,24,Jack DeBoe,8,r32,,6:25,TF,Jack Cuvo,1,East Stroudsburg,,Kent State,118,118,1989,0,
Jack Griffin,Terry Cook,Jack Griffin,13,Terry Cook,3,r32,,,MD,Jack Griffin,2,Northwestern,,Nebraska,118,118,1989,0,
Andy Radenbaugh,Ben Reichel,Andy Radenbaugh,1,Ben Reichel,5,r32,,,DEC,Ben Reichel,,Notre Dame,,Tennessee-Chattanooga,118,118,1989,0,
Craig Sterr,Craig Corbin,Craig Sterr,7,Craig Corbin,16,r32,,,MD,Craig Corbin,,Eastern Illinois,7,Lock Haven,118,118,1989,0,
Cory Baze,Brian Bauer,Cory Baze,-1,Brian Bauer,-2,r32,,4:39,F,Cory Baze,10,Oklahoma State,,Wilkes,118,118,1989,0,
Rick Hartman,Mark Schwab,Rick Hartman,4,Mark Schwab,10,r32,,,DEC,Mark Schwab,,Lehigh,11,Northern Iowa,118,118,1989,0,
Chris Bollin,Lou Rosselli,Chris Bollin,6,Lou Rosselli,1,r32,,,DEC,Chris Bollin,6,Oklahoma,,Edinboro,118,118,1989,0,
Doug Wyland,Loren Baum,Doug Wyland,18,Loren Baum,3,r32,,7:00,TF,Doug Wyland,3,North Carolina,,Liberty,118,118,1989,0,
Dan Vidlak,Adam Derengowski,Dan Vidlak,3,Adam Derengowski,11,r32,,,MD,Adam Derengowski,,Oregon,,Rider,118,118,1989,0,
Jim Fussell,Donnie Heckel,Jim Fussell,4,Donnie Heckel,7,r16,,,DEC,Donnie Heckel,5,Syracuse,12,Clemson,118,118,1989,0,
Ken Chertow,Wayne Gibson,Ken Chertow,7,Wayne Gibson,4,r16,,,DEC,Ken Chertow,4,Penn State,,Old Dominion,118,118,1989,0,
Steve Martin,Zeke Jones,Steve Martin,3,Zeke Jones,5,r16,,,DEC,Zeke Jones,8,Iowa,9,Arizona State,118,118,1989,0,
John Galkowski,Jack Cuvo,John Galkowski,9,Jack Cuvo,24,r16,,7:00,TF,Jack Cuvo,,Cal Poly-SLO,1,East Stroudsburg,118,118,1989,0,
Jack Griffin,Ben Reichel,Jack Griffin,8,Ben Reichel,4,r16,,,DEC,Jack Griffin,2,Northwestern,,Tennessee-Chattanooga,118,118,1989,0,
Craig Corbin,Cory Baze,Craig Corbin,7,Cory Baze,4,r16,1,,DEC,Craig Corbin,7,Lock Haven,10,Oklahoma State,118,118,1989,0,
Mark Schwab,Chris Bollin,Mark Schwab,3,Chris Bollin,6,r16,,,DEC,Chris Bollin,11,Northern Iowa,6,Oklahoma,118,118,1989,0,
Doug Wyland,Adam Derengowski,Doug Wyland,-1,Adam Derengowski,-2,r16,,1:25,F,Doug Wyland,3,North Carolina,,Rider,118,118,1989,0,
Donnie Heckel,Ken Chertow,Donnie Heckel,2,Ken Chertow,3,r8,,,DEC,Ken Chertow,12,Clemson,4,Penn State,118,118,1989,0,
Zeke Jones,Jack Cuvo,Zeke Jones,3,Jack Cuvo,8,r8,,,DEC,Jack Cuvo,9,Arizona State,1,East Stroudsburg,118,118,1989,0,
Jack Griffin,Craig Corbin,Jack Griffin,14,Craig Corbin,6,r8,,,MD,Jack Griffin,2,Northwestern,7,Lock Haven,118,118,1989,0,
Chris Bollin,Doug Wyland,Chris Bollin,6,Doug Wyland,10,r8,1,,DEC,Doug Wyland,6,Oklahoma,3,North Carolina,118,118,1989,0,
Ken Chertow,Jack Cuvo,Ken Chertow,7,Jack Cuvo,8,r4,1,,DEC,Jack Cuvo,4,Penn State,1,East Stroudsburg,118,118,1989,0,
Jack Griffin,Doug Wyland,Jack Griffin,5,Doug Wyland,9,r4,,,DEC,Doug Wyland,2,Northwestern,3,North Carolina,118,118,1989,0,
Jack Cuvo,Doug Wyland,Jack Cuvo,10,Doug Wyland,8,m1,,,DEC,Jack Cuvo,1,East Stroudsburg,3,North Carolina,118,118,1989,0,
Erin Millsap,Jim Fussell,Erin Millsap,6,Jim Fussell,1,c1,,,DEC,Erin Millsap,,Cal State-Fullerton,5,Syracuse,118,118,1989,0,
Ken Matsui,Wayne Gibson,Ken Matsui,3,Wayne Gibson,9,c1,,,DEC,Wayne Gibson,,Boston University,,Old Dominion,118,118,1989,0,
Mike Caracci,Steve Martin,Mike Caracci,3,Steve Martin,8,c1,,,DEC,Steve Martin,,New Hampshire,8,Iowa,118,118,1989,0,
Jack DeBoe,John Galkowski,Jack DeBoe,2,John Galkowski,5,c1,,,DEC,John Galkowski,,Kent State,,Cal Poly-SLO,118,118,1989,0,
Terry Cook,Ben Reichel,Terry Cook,15,Ben Reichel,13,c1,1,,DEC,Terry Cook,,Nebraska,,Tennessee-Chattanooga,118,118,1989,0,
Craig Sterr,Cory Baze,Craig Sterr,7,Cory Baze,12,c1,,,DEC,Cory Baze,,Eastern Illinois,10,Oklahoma State,118,118,1989,0,
Lou Rosselli,Mark Schwab,Lou Rosselli,4,Mark Schwab,3,c1,,,DEC,Lou Rosselli,,Edinboro,11,Northern Iowa,118,118,1989,0,
Loren Baum,Adam Derengowski,Loren Baum,6,Adam Derengowski,3,c1,,,DEC,Loren Baum,,Liberty,,Rider,118,118,1989,0,
Jim Fussell,Wayne Gibson,Jim Fussell,2,Wayne Gibson,1,c2,,,DEC,Jim Fussell,5,Syracuse,,Old Dominion,118,118,1989,0,
Steve Martin,John Galkowski,Steve Martin,8,John Galkowski,5,c2,,,DEC,Steve Martin,8,Iowa,,Cal Poly-SLO,118,118,1989,0,
Terry Cook,Cory Baze,Terry Cook,3,Cory Baze,5,c2,,,DEC,Cory Baze,,Nebraska,10,Oklahoma State,118,118,1989,0,
Lou Rosselli,Loren Baum,Lou Rosselli,1,Loren Baum,2,c2,,,DEC,Loren Baum,,Edinboro,,Liberty,118,118,1989,0,
Jim Fussell,Chris Bollin,Jim Fussell,5,Chris Bollin,4,br,,,DEC,Jim Fussell,5,Syracuse,6,Oklahoma,118,118,1989,0,
Steve Martin,Craig Corbin,Steve Martin,4,Craig Corbin,2,br,,,DEC,Steve Martin,8,Iowa,7,Lock Haven,118,118,1989,0,
Cory Baze,Zeke Jones,Cory Baze,3,Zeke Jones,7,br,,,DEC,Zeke Jones,10,Oklahoma State,9,Arizona State,118,118,1989,0,
Loren Baum,Donnie Heckel,Loren Baum,1,Donnie Heckel,6,br,,,DEC,Donnie Heckel,,Liberty,12,Clemson,118,118,1989,0,
Chris Bollin,Steve Martin,Chris Bollin,6,Steve Martin,4,c4,,,DEC,Chris Bollin,6,Oklahoma,8,Iowa,118,118,1989,0,
Zeke Jones,Donnie Heckel,Zeke Jones,7,Donnie Heckel,2,c4,,,DEC,Zeke Jones,9,Arizona State,12,Clemson,118,118,1989,0,
Chris Bollin,Ken Chertow,Chris Bollin,6,Ken Chertow,1,cs,,,DEC,Chris Bollin,6,Oklahoma,4,Penn State,118,118,1989,0,
Zeke Jones,Jack Griffin,Zeke Jones,6,Jack Griffin,4,cs,,,DEC,Zeke Jones,9,Arizona State,2,Northwestern,118,118,1989,0,
Chris Bollin,Zeke Jones,Chris Bollin,9,Zeke Jones,6,m3,,,DEC,Chris Bollin,6,Oklahoma,9,Arizona State,118,118,1989,0,
Jack Griffin,Ken Chertow,Jack Griffin,3,Ken Chertow,1,m5,,,DEC,Jack Griffin,2,Northwestern,4,Penn State,118,118,1989,0,
Steve Martin,Donnie Heckel,Steve Martin,6,Donnie Heckel,0,m7,,,DEC,Steve Martin,8,Iowa,12,Clemson,118,118,1989,0,
Andy Radenbaugh,Robert Symmans,Andy Radenbaugh,9,Robert Symmans,5,p1,,,DEC,Andy Radenbaugh,,Notre Dame,,Lake Superior,118,118,1989,0,
Doug Harper,Cory Jones,Doug Harper,14,Cory Jones,1,p1,,,MD,Doug Harper,,Eastern Michigan,,Clarion,118,118,1989,0,
