wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year
Owen Hibberd,Tony Venturini,Owen Hibberd,6,Tony Venturini,7,r32,,,DEC,Tony Venturini,12,Drexel,,Eastern Michigan,118,118,1992
Donnell Rawls,David Land,Donnell Rawls,13,David Land,7,r32,,,DEC,Tony Venturini,5,Appalachian State,,Maryland,118,118,1992
Eric Akin,Robbie Sordi,Eric Akin,8,Robbie Sordi,1,r32,,,DEC,Eric Akin,4,Iowa State,,Fresno State,118,118,1992
Scott Kindig,Greg Rudin,Scott Kindig,0,Greg Rudin,-1,r32,,4:16,F,Scott Kindig,,Millersville,,Illinois,118,118,1992
Mike Friedman,Jeff Prescott,Mike Friedman,1,Jeff Prescott,17,r32,,6:02,TF,Jeff Prescott,,Pennsylvania,1,Penn State,118,118,1992
Brian Slates,Erick Shaw,Brian Slates,6,Erick Shaw,5,r32,,,DEC,Brian Slates,,Lock Haven,,Old Dominion,118,118,1992
Matt Hanutke,Jeremie Eckley,Matt Hanutke,7,Jeremie Eckley,5,r32,,,DEC,Matt Hanutke,9,Wisconsin,,Nebraska,118,118,1992
Ty Moore,Mickey Nunez,Ty Moore,8,Mickey Nunez,0,r32,,,MD,Ty Moore,8,North Carolina,,Arizona State,118,118,1992
David Sims,Gabe Zirkelbach,David Sims,4,Gabe Zirkelbach,6,r32,1,,DEC,Gabe Zirkelbach,,Cornell,,Purdue,118,118,1992
Chad Zaputil,Thad Allen,Chad Zaputil,22,Thad Allen,7,r32,,7:00,TF,Chad Zaputil,2,Iowa,,Air Force,118,118,1992
Erik Burnett,Joey Dansby,Erik Burnett,9,Joey Dansby,6,r32,,,DEC,Erik Burnett,7,Clarion,,Cal Poly-SLO,118,118,1992
Jeff Mirabella,Mike Darlington,Jeff Mirabella,2,Mike Darlington,8,r32,,,DEC,Mike Darlington,,Northwestern,10,Duke,118,118,1992
Dan Vidlak,Casey Yackin,Dan Vidlak,12,Casey Yackin,1,r32,,,MD,Dan Vidlak,3,Oregon,,Ohio University,118,118,1992
Kevin Kinane,James Gallagher,Kevin Kinane,13,James Gallagher,4,r32,,,MD,Kevin Kinane,,California PA,,Boston College,118,118,1992
Eric Folkins,Tim Casey,Eric Folkins,0,Tim Casey,15,r32,,,TF,Tim Casey,,Minnesota,6,Bloomsburg,118,118,1992
Brad Bruhl,Charlie Morgan,Brad Bruhl,-2,Charlie Morgan,-1,r32,,0:46,F,Charlie Morgan,11,Northern Iowa,,Morgan State,118,118,1992
Tony Venturini,Donnell Rawls,Tony Venturini,2,Donnell Rawls,9,r16,,,DEC,Donnell Rawls,,Eastern Michigan,5,Appalachian State,118,118,1992
Eric Akin,Greg Rudin,Eric Akin,-1,Greg Rudin,-2,r16,,6:02,F,Eric Akin,4,Iowa State,,Illinois,118,118,1992
Jeff Prescott,Brian Slates,Jeff Prescott,-1,Brian Slates,-2,r16,,2:51,F,Jeff Prescott,1,Penn State,,Lock Haven,118,118,1992
Matt Hanutke,Ty Moore,Matt Hanutke,6,Ty Moore,4,r16,1,,DEC,Matt Hanutke,9,Wisconsin,8,North Carolina,118,118,1992
Gabe Zirkelbach,Chad Zaputil,Gabe Zirkelbach,2,Chad Zaputil,10,r16,,,MD,Chad Zaputil,,Purdue,2,Iowa,118,118,1992
Erik Burnett,Mike Darlington,Erik Burnett,6,Mike Darlington,1,r16,,,DEC,Erik Burnett,7,Clarion,10,Duke,118,118,1992
Dan Vidlak,Kevin Kinane,Dan Vidlak,8,Kevin Kinane,10,r16,1,,DEC,Kevin Kinane,3,Oregon,,California PA,118,118,1992
Tim Casey,Charlie Morgan,Tim Casey,13,Charlie Morgan,2,r16,,,MD,Tim Casey,6,Bloomsburg,,Morgan State,118,118,1992
Donnell Rawls,Eric Akin,Donnell Rawls,15,Eric Akin,5,r8,,,MD,Donnell Rawls,5,Appalachian State,4,Iowa State,118,118,1992
Jeff Prescott,Matt Hanutke,Jeff Prescott,12,Matt Hanutke,3,r8,,,MD,Jeff Prescott,1,Penn State,9,Wisconsin,118,118,1992
Chad Zaputil,Erik Burnett,Chad Zaputil,17,Erik Burnett,6,r8,,,MD,Chad Zaputil,2,Iowa,7,Clarion,118,118,1992
Kevin Kinane,Tim Casey,Kevin Kinane,5,Tim Casey,4,r8,,,DEC,Kevin Kinane,,California PA,6,Bloomsburg,118,118,1992
Donnell Rawls,Jeff Prescott,Donnell Rawls,6,Jeff Prescott,13,r4,,,DEC,Jeff Prescott,5,Appalachian State,1,Penn State,118,118,1992
Chad Zaputil,Kevin Kinane,Chad Zaputil,12,Kevin Kinane,4,r4,,,MD,Chad Zaputil,2,Iowa,,California PA,118,118,1992
Jeff Prescott,Chad Zaputil,Jeff Prescott,2,Chad Zaputil,0,m1,,,DEC,Jeff Prescott,1,Penn State,2,Iowa,118,118,1992
David Land,Tony Venturini,David Land,5,Tony Venturini,4,c1,,,DEC,David Land,,Maryland,,Eastern Michigan,118,118,1992
Robbie Sordi,Greg Rudin,Robbie Sordi,5,Greg Rudin,3,c1,1,,DEC,Robbie Sordi,,Fresno State,,Illinois,118,118,1992
Mike Friedman,Brian Slates,Mike Friedman,11,Brian Slates,3,c1,,,MD,Mike Friedman,,Pennsylvania,,Lock Haven,118,118,1992
Jeremie Eckley,Ty Moore,Jeremie Eckley,6,Ty Moore,9,c1,,,DEC,Ty Moore,,Nebraska,8,North Carolina,118,118,1992
Thad Allen,Gabe Zirkelbach,Thad Allen,11,Gabe Zirkelbach,4,c1,,,DEC,Thad Allen,,Air Force,,Purdue,118,118,1992
Joey Dansby,Mike Darlington,Joey Dansby,3,Mike Darlington,6,c1,,,DEC,Mike Darlington,,Cal Poly-SLO,10,Duke,118,118,1992
James Gallagher,Dan Vidlak,James Gallagher,5,Dan Vidlak,20,c1,,6:00,TF,Dan Vidlak,,Boston College,3,Oregon,118,118,1992
Eric Folkins,Charlie Morgan,Eric Folkins,11,Charlie Morgan,3,c1,,,MD,Eric Folkins,,Minnesota,,Morgan State,118,118,1992
David Land,Robbie Sordi,David Land,9,Robbie Sordi,7,c2,1,,DEC,David Land,,Maryland,,Fresno State,118,118,1992
Mike Friedman,Ty Moore,Mike Friedman,0,Ty Moore,4,c2,,,DEC,Ty Moore,,Pennsylvania,8,North Carolina,118,118,1992
Thad Allen,Mike Darlington,Thad Allen,6,Mike Darlington,3,c2,,,DEC,Thad Allen,,Air Force,10,Duke,118,118,1992
